Stations,DireDawa,Ginir,Ameya,DebreWork,Mankush,Debark,Metema,NefasMewcha,Shahura,Alemaya,AwashArba,Gewane,Gambela,Tepi,Maji,Wolaita,Alemteferi,Elidar,Semera,AddisAbabaBoleE,Hosana,Nazeret,SholaGebeya,WolisoGiyon,Ziway,Robe
LON,41.896833,40.706944,36.6569,38.1623,35.291,37.8979,36.4139,38.36,36.8737,42.03785,40.158889,40.658333,34.54,35.437483,35.58655,37.748889,35.233333,41.921944,41.001944,38.78577,37.85383,39.284,39.55,37.97,38.7,40.05
DAILY/LAT,9.613367,7.133333,7.10495,10.6506,11.272,13.14213,12.7746,11.81,11.9286,9.415133,9.141111,10.155278,8.34,7.204883,6.173183,6.821667,8.9,12.049722,11.800833,8.98528,7.5677783,8.557,9.9563893,8.5483,7.9363893,7.133333
19900101,0,0,-99,-99,-99,-99,0,-99,-99,0,-99,0,-99,1.4,-99,0,-99,-99,-99,-99,0,0,-99,0,0,0
19900102,0,0,-99,-99,-99,-99,0,-99,-99,0,-99,0,-99,3.8,-99,0,-99,-99,-99,-99,0,0,-99,0,0,0
19900103,0,0,-99,-99,-99,-99,0,-99,-99,0,-99,0,-99,0,-99,0,-99,-99,-99,-99,0,0,-99,0,0,0
19900104,0,0,-99,-99,-99,-99,0,-99,-99,0,-99,0,-99,0.9,-99,0,-99,-99,-99,-99,0,0,-99,0,0,37.8
19900105,0,5.9,-99,-99,-99,-99,0,-99,-99,0,-99,0,-99,0,-99,0.3,-99,-99,-99,-99,0,0,-99,0,0,0
19900106,0,0,-99,-99,-99,-99,0,-99,-99,0,-99,0,-99,2.3,-99,4.2,-99,-99,-99,-99,0,0,-99,0,0,0
19900107,0,0,-99,-99,-99,-99,0,-99,-99,0,-99,0,-99,0,-99,0,-99,-99,-99,-99,0,0,-99,0,0,0
19900108,0,0,-99,-99,-99,-99,0,-99,-99,0,-99,0,-99,0.3,-99,0,-99,-99,-99,-99,0,0,-99,0,0,0
19900109,0,0,-99,-99,-99,-99,0,-99,-99,0,-99,0,-99,0,-99,0,-99,-99,-99,-99,0,0,-99,0,0,0
19900110,0,0,-99,-99,-99,-99,0,-99,-99,0,-99,0,-99,0,-99,0,-99,-99,-99,-99,0,0,-99,0,0,0
19900111,0,0,-99,-99,-99,-99,0,-99,-99,0,-99,0,-99,0.8,-99,0,-99,-99,-99,-99,0,0,-99,0,0,0
19900112,0,0,-99,-99,-99,-99,0,-99,-99,0,-99,0,-99,0,-99,0,-99,-99,-99,-99,0,0,-99,0,0,0
19900113,0,0,-99,-99,-99,-99,0,-99,-99,0,-99,0,-99,0,-99,0,-99,-99,-99,-99,0,0,-99,0,0,0
19900114,0,0,-99,-99,-99,-99,0,-99,-99,0,-99,0,-99,0,-99,0,-99,-99,-99,-99,0,0,-99,0,0,0
19900115,0,0,-99,-99,-99,-99,0,-99,-99,0,-99,0,-99,0,-99,0,-99,-99,-99,-99,0,0,-99,0,0,0
19900116,1.6,0,-99,-99,-99,-99,0,-99,-99,0,-99,0,-99,11.6,-99,4.5,-99,-99,-99,-99,0,0,-99,0,0,0
19900117,0,0,-99,-99,-99,-99,0,-99,-99,0,-99,0,-99,1.2,-99,0,-99,-99,-99,-99,0,0,-99,0,0,0.8
19900118,0.3,0,-99,-99,-99,-99,0,-99,-99,0,-99,0,-99,0,-99,0,-99,-99,-99,-99,0,0,-99,11.3,0,0
19900119,45.4,0,-99,-99,-99,-99,0,-99,-99,1.7,-99,2.3,-99,0.1,-99,0,-99,-99,-99,-99,0,0,-99,0,0,0
19900120,1,0,-99,-99,-99,-99,0,-99,-99,0,-99,2.4,-99,0,-99,4.6,-99,-99,-99,-99,0,0.7,-99,0,0,0
19900121,0.9,0,-99,-99,-99,-99,0,-99,-99,0,-99,0,-99,4.9,-99,6,-99,-99,-99,-99,0,0,-99,0,0,0
19900122,0,0,-99,-99,-99,-99,0,-99,-99,0,-99,0,-99,0,-99,0,-99,-99,-99,-99,0,0,-99,0,0,0
19900123,0,0,-99,-99,-99,-99,0,-99,-99,0,-99,0,-99,28.2,-99,0,-99,-99,-99,-99,0,0,-99,0,0,0
19900124,0,0,-99,-99,-99,-99,0,-99,-99,0,-99,0,-99,3.1,-99,0,-99,-99,-99,-99,0,0,-99,0,0,0
19900125,0,0,-99,-99,-99,-99,0,-99,-99,0,-99,0,-99,0,-99,0,-99,-99,-99,-99,0,0,-99,0,0,0
19900126,0,0,-99,-99,-99,-99,0,-99,-99,0,-99,0,-99,0,-99,0,-99,-99,-99,-99,0,0,-99,0,0,0
19900127,0,0,-99,-99,-99,-99,0,-99,-99,0,-99,0,-99,0,-99,0,-99,-99,-99,-99,0,0,-99,0,0,0
19900128,0,0,-99,-99,-99,-99,0,-99,-99,0,-99,0,-99,0,-99,0,-99,-99,-99,-99,0,0,-99,0,0,0
19900129,0,0,-99,-99,-99,-99,0,-99,-99,0,-99,0,-99,0,-99,0,-99,-99,-99,-99,0,0,-99,0,0,0
19900130,0,0,-99,-99,-99,-99,0,-99,-99,0,-99,0,-99,0,-99,0,-99,-99,-99,-99,0,0,-99,0,0,0
19900131,0,0,-99,-99,-99,-99,0,-99,-99,0,-99,0,-99,0,-99,0,-99,-99,-99,-99,0,0,-99,0,0,0
19900201,0,0,-99,-99,-99,-99,0,-99,-99,0,-99,0,-99,0,-99,0,-99,-99,-99,-99,1.2,0,-99,5.6,14.5,0
19900202,0.6,0,-99,-99,-99,-99,0,-99,-99,5.7,-99,0,-99,0,-99,0,-99,-99,-99,-99,2.7,1.3,-99,3.2,2.1,11.6
19900203,0,0,-99,-99,-99,-99,0,-99,-99,0,-99,3.7,-99,0,-99,0,-99,-99,-99,-99,1.1,0,-99,0.5,7.7,0.6
19900204,0,0,-99,-99,-99,-99,0,-99,-99,0,-99,0,-99,2,-99,0,-99,-99,-99,-99,0,25.8,-99,1,5,0
19900205,0,0,-99,-99,-99,-99,0,-99,-99,0,-99,38.5,-99,4,-99,2,-99,-99,-99,-99,0,11.1,-99,0,4,0
19900206,0.4,17.3,-99,-99,-99,-99,0,-99,-99,15.6,-99,85.7,-99,2.2,-99,0,-99,-99,-99,-99,7.1,3.1,-99,30.4,4.9,3.6
19900207,14,12.2,-99,-99,-99,-99,0,-99,-99,16.8,-99,28.9,-99,0.4,-99,2.1,-99,-99,-99,-99,2.3,22.2,-99,3.5,14.6,2.1
19900208,2,1.9,-99,-99,-99,-99,0,-99,-99,0,-99,14.2,-99,1.2,-99,73.3,-99,-99,-99,-99,24.1,15,-99,4.2,0,2.2
19900209,0,0,-99,-99,-99,-99,0,-99,-99,0,-99,2.4,-99,2.5,-99,0,-99,-99,-99,-99,0.2,0,-99,24,0.2,0
19900210,0,0,-99,-99,-99,-99,0,-99,-99,0,-99,0,-99,0,-99,5.9,-99,-99,-99,-99,0.8,13,-99,2,0,0
19900211,0,0,-99,-99,-99,-99,0,-99,-99,0,-99,0,-99,0,-99,0,-99,-99,-99,-99,5.2,0,-99,2.2,0,0
19900212,0,0,-99,-99,-99,-99,0,-99,-99,0,-99,0,-99,0,-99,0,-99,-99,-99,-99,3.7,0,-99,0,0,0
19900213,0,0,-99,-99,-99,-99,0,-99,-99,0,-99,0,-99,0,-99,0,-99,-99,-99,-99,0,0.5,-99,0,0,0
19900214,0,0,-99,-99,-99,-99,0,-99,-99,0,-99,0,-99,10.1,-99,0,-99,-99,-99,-99,0,0,-99,5.5,2,0
19900215,18,0,-99,-99,-99,-99,0,-99,-99,0,-99,0.5,-99,0,-99,5.2,-99,-99,-99,-99,44.5,18.7,-99,0,10.2,7.1
19900216,0.3,0,-99,-99,-99,-99,0,-99,-99,0,-99,0,-99,0,-99,32.6,-99,-99,-99,-99,2.3,0,-99,0,0,6.6
19900217,0,0,-99,-99,-99,-99,0,-99,-99,0,-99,30.5,-99,0.5,-99,1.5,-99,-99,-99,-99,1.4,0,-99,2.1,0,0
19900218,0,0,-99,-99,-99,-99,0,-99,-99,0,-99,0.2,-99,0,-99,0,-99,-99,-99,-99,2.1,0,-99,0,0.2,0
19900219,12,0.2,-99,-99,-99,-99,0,-99,-99,0,-99,0.6,-99,0,-99,0.5,-99,-99,-99,-99,0.2,0,-99,0,9.1,0.7
19900220,0,1.6,-99,-99,-99,-99,0,-99,-99,0,-99,0,-99,0.2,-99,0,-99,-99,-99,-99,0,7,-99,0,15.6,10.8
19900221,0,0,-99,-99,-99,-99,0,-99,-99,0,-99,0,-99,0,-99,7.6,-99,-99,-99,-99,12.5,0.8,-99,0,3.2,0
19900222,19.6,0,-99,-99,-99,-99,0,-99,-99,0,-99,15.6,-99,0,-99,20.1,-99,-99,-99,-99,15,2.1,-99,0,0.4,2.9
19900223,9.7,0.9,-99,-99,-99,-99,0,-99,-99,0,-99,0,-99,1.8,-99,18,-99,-99,-99,-99,0,23,-99,34.5,3.6,0
19900224,0.8,1.2,-99,-99,-99,-99,0,-99,-99,17.5,-99,37,-99,0.2,-99,43.3,-99,-99,-99,-99,1.3,7,-99,1,6.8,16.9
19900225,57.4,13.2,-99,-99,-99,-99,0,-99,-99,15,-99,0.5,-99,0.2,-99,5,-99,-99,-99,-99,11.4,16,-99,2.4,0.9,8.6
19900226,0.4,7.5,-99,-99,-99,-99,0,-99,-99,2.5,-99,0,-99,0,-99,0.2,-99,-99,-99,-99,2.3,0.8,-99,1.4,18.7,3.9
19900227,0,5,-99,-99,-99,-99,0,-99,-99,0,-99,0,-99,0,-99,8.9,-99,-99,-99,-99,3.2,0,-99,3.7,13.5,7.7
19900228,0,0,-99,-99,-99,-99,0,-99,-99,0,-99,0,-99,0,-99,0,-99,-99,-99,-99,0.2,16.5,-99,0,3.6,0
19900301,0,8.2,-99,-99,-99,-99,-99,-99,-99,1.3,-99,26.3,-99,1.8,-99,6,-99,-99,-99,-99,0,0,-99,0,0,0
19900302,0.8,11.3,-99,-99,-99,-99,-99,-99,-99,0,-99,12,-99,1.1,-99,3.1,-99,-99,-99,-99,0,12.7,-99,7,0,5.1
19900303,0,0,-99,-99,-99,-99,-99,-99,-99,0,-99,0,-99,7.1,-99,0.6,-99,-99,-99,-99,49.8,0,-99,4.3,0,0
19900304,0,10.4,-99,-99,-99,-99,-99,-99,-99,0,-99,0,-99,0,-99,0,-99,-99,-99,-99,0,1.2,-99,1.4,0.7,0.6
19900305,23.4,5.7,-99,-99,-99,-99,-99,-99,-99,0,-99,0,-99,0,-99,5.1,-99,-99,-99,-99,0,1.6,-99,0,1.3,8.7
19900306,15,0,-99,-99,-99,-99,-99,-99,-99,12.7,-99,0,-99,0,-99,0,-99,-99,-99,-99,0,0,-99,2.6,5.3,2.7
19900307,0.2,0.5,-99,-99,-99,-99,-99,-99,-99,0.6,-99,0,-99,0,-99,0,-99,-99,-99,-99,1.5,10.4,-99,2.6,0,0
19900308,0,0,-99,-99,-99,-99,-99,-99,-99,0,-99,0,-99,0.9,-99,0,-99,-99,-99,-99,1.5,1.8,-99,2.2,0,0.3
19900309,0,0,-99,-99,-99,-99,-99,-99,-99,0,-99,0,-99,38.7,-99,12.9,-99,-99,-99,-99,0,0,-99,0,0,0
19900310,0,0,-99,-99,-99,-99,-99,-99,-99,0,-99,0,-99,1.3,-99,6.8,-99,-99,-99,-99,0,0,-99,0,0,0
19900311,0,0,-99,-99,-99,-99,-99,-99,-99,0,-99,0,-99,6.8,-99,0,-99,-99,-99,-99,0,0,-99,0,0,0
19900312,0,0,-99,-99,-99,-99,-99,-99,-99,0,-99,0,-99,0.8,-99,0,-99,-99,-99,-99,0,0,-99,0,0,0
19900313,0,0,-99,-99,-99,-99,-99,-99,-99,0,-99,0,-99,0,-99,0,-99,-99,-99,-99,0,0,-99,0,0,0
19900314,0,0,-99,-99,-99,-99,-99,-99,-99,0,-99,0,-99,0,-99,0,-99,-99,-99,-99,0,0,-99,0,0,0
19900315,0,0,-99,-99,-99,-99,-99,-99,-99,0,-99,0,-99,2.2,-99,0,-99,-99,-99,-99,0,0,-99,0,0,0
19900316,0,4.2,-99,-99,-99,-99,-99,-99,-99,0,-99,0,-99,4.7,-99,0,-99,-99,-99,-99,0,0,-99,0,1.7,0
19900317,0,20,-99,-99,-99,-99,-99,-99,-99,0,-99,0,-99,18.5,-99,0.2,-99,-99,-99,-99,0,0,-99,0,0,5.3
19900318,0,2.5,-99,-99,-99,-99,-99,-99,-99,0,-99,0,-99,30.5,-99,0.1,-99,-99,-99,-99,0,0,-99,0,0,0
19900319,4.2,0.8,-99,-99,-99,-99,-99,-99,-99,0,-99,0,-99,6.8,-99,0,-99,-99,-99,-99,0,0,-99,0,0,1.4
19900320,0,0,-99,-99,-99,-99,-99,-99,-99,0,-99,0,-99,16,-99,1.6,-99,-99,-99,-99,1.3,0,-99,0.5,0,0
19900321,11,0,-99,-99,-99,-99,-99,-99,-99,3.2,-99,0,-99,20.2,-99,0.7,-99,-99,-99,-99,9.1,12.4,-99,0.5,0.7,17.6
19900322,0.9,11.2,-99,-99,-99,-99,-99,-99,-99,1.5,-99,0,-99,0,-99,1,-99,-99,-99,-99,9.3,0.5,-99,0,0,13.1
19900323,2,7.4,-99,-99,-99,-99,-99,-99,-99,0,-99,0,-99,0.4,-99,0.7,-99,-99,-99,-99,1.4,1.7,-99,0,0,0
19900324,0,0,-99,-99,-99,-99,-99,-99,-99,0,-99,0,-99,3,-99,2.3,-99,-99,-99,-99,0,0,-99,0,0,0
19900325,0,0,-99,-99,-99,-99,-99,-99,-99,0,-99,0,-99,2.3,-99,3.2,-99,-99,-99,-99,0,0,-99,0,0,0
19900326,0,0,-99,-99,-99,-99,-99,-99,-99,0,-99,0,-99,2.6,-99,1.2,-99,-99,-99,-99,0,0,-99,0,0,0
19900327,0,0,-99,-99,-99,-99,-99,-99,-99,0,-99,0,-99,2.2,-99,10.2,-99,-99,-99,-99,0,0,-99,0,0,2.9
19900328,0.7,4.8,-99,-99,-99,-99,-99,-99,-99,1.8,-99,0,-99,1.9,-99,15.2,-99,-99,-99,-99,5.7,0,-99,0,0,0
19900329,8.2,0,-99,-99,-99,-99,-99,-99,-99,24.3,-99,0,-99,2.4,-99,0.3,-99,-99,-99,-99,62.3,0,-99,1.5,0,1.1
19900330,1,0.9,-99,-99,-99,-99,-99,-99,-99,0,-99,28.3,-99,0,-99,8.9,-99,-99,-99,-99,11.2,40.7,-99,12,6.9,5.5
19900331,2.4,0,-99,-99,-99,-99,-99,-99,-99,0,-99,0,-99,0,-99,5.4,-99,-99,-99,-99,0,0,-99,0,0,5.2
19900401,0.7,25.1,-99,-99,-99,-99,-99,-99,-99,29.4,-99,19.6,-99,0,-99,2,-99,-99,-99,-99,27.2,1.4,-99,0.2,0.5,0.4
19900402,10.8,4.7,-99,-99,-99,-99,-99,-99,-99,0.4,-99,0,-99,0,-99,1.7,-99,-99,-99,-99,0,0,-99,14.3,0,0.9
19900403,26.5,4.8,-99,-99,-99,-99,-99,-99,-99,0,-99,21,-99,14.4,-99,1.1,-99,-99,-99,-99,14.5,48.7,-99,14.1,24.4,0.2
19900404,4,4.5,-99,-99,-99,-99,-99,-99,-99,1,-99,0,-99,0.6,-99,0,-99,-99,-99,-99,10.4,3.4,-99,1.2,0.4,3
19900405,12.9,0.5,-99,-99,-99,-99,-99,-99,-99,5.5,-99,0,-99,0,-99,13.7,-99,-99,-99,-99,2.8,7.5,-99,2.5,0.4,0
19900406,0,0,-99,-99,-99,-99,-99,-99,-99,4.2,-99,0.8,-99,0,-99,1.1,-99,-99,-99,-99,0,0.7,-99,0,1.1,6.9
19900407,0,98.8,-99,-99,-99,-99,-99,-99,-99,0.7,-99,0,-99,0,-99,7.5,-99,-99,-99,-99,8,3.2,-99,0,2,14.5
19900408,0,13,-99,-99,-99,-99,-99,-99,-99,1,-99,0,-99,0,-99,1.3,-99,-99,-99,-99,7,15.5,-99,18.5,6.4,35.8
19900409,0,0,-99,-99,-99,-99,-99,-99,-99,1.5,-99,0,-99,0,-99,0,-99,-99,-99,-99,0,0,-99,0,0,0.6
19900410,0,0.5,-99,-99,-99,-99,-99,-99,-99,0,-99,0,-99,1.8,-99,0,-99,-99,-99,-99,0,0,-99,0,0,0
19900411,0,0.1,-99,-99,-99,-99,-99,-99,-99,0,-99,0,-99,0,-99,0.9,-99,-99,-99,-99,0,0,-99,0,0,0
19900412,0,1,-99,-99,-99,-99,-99,-99,-99,2,-99,0,-99,3.2,-99,0,-99,-99,-99,-99,0,0,-99,0,0,0
19900413,0,0,-99,-99,-99,-99,-99,-99,-99,0,-99,0,-99,9.7,-99,0,-99,-99,-99,-99,0,0,-99,0.2,0,31.5
19900414,0,1.3,-99,-99,-99,-99,-99,-99,-99,0,-99,0,-99,0,-99,0,-99,-99,-99,-99,0,0,-99,0,0,0
19900415,0,0,-99,-99,-99,-99,-99,-99,-99,0,-99,0,-99,0.3,-99,0,-99,-99,-99,-99,0,0,-99,0,0,0
19900416,0,1.9,-99,-99,-99,-99,-99,-99,-99,0,-99,0,-99,6.3,-99,0,-99,-99,-99,-99,0,0,-99,0,0,0
19900417,0,5.7,-99,-99,-99,-99,-99,-99,-99,0,-99,0,-99,25.7,-99,0,-99,-99,-99,-99,0,0,-99,0,0,0
19900418,0,0.9,-99,-99,-99,-99,-99,-99,-99,36.1,-99,0,-99,0.6,-99,0,-99,-99,-99,-99,0,0,-99,0,0,0
19900419,1.3,2.2,-99,-99,-99,-99,-99,-99,-99,0,-99,0,-99,16.4,-99,0.1,-99,-99,-99,-99,0,0,-99,0,0,0
19900420,0,3.1,-99,-99,-99,-99,-99,-99,-99,0,-99,0,-99,0.7,-99,3.7,-99,-99,-99,-99,0.3,0,-99,0.7,1.4,0
19900421,0,0.2,-99,-99,-99,-99,-99,-99,-99,0,-99,0,-99,5.6,-99,0,-99,-99,-99,-99,0,0,-99,0,0,0
19900422,0,8.8,-99,-99,-99,-99,-99,-99,-99,0,-99,0,-99,8.5,-99,0.6,-99,-99,-99,-99,0,0,-99,0,0,0
19900423,6.7,27.3,-99,-99,-99,-99,-99,-99,-99,0,-99,0,-99,0,-99,4.3,-99,-99,-99,-99,6.4,27.4,-99,9.6,4.6,0
19900424,31,2,-99,-99,-99,-99,-99,-99,-99,33.5,-99,0,-99,0,-99,0,-99,-99,-99,-99,0,0,-99,0.1,0,0.2
19900425,0,31.8,-99,-99,-99,-99,-99,-99,-99,0.2,-99,11.1,-99,0,-99,0,-99,-99,-99,-99,3.4,0.5,-99,1,0,3.2
19900426,4.8,20.3,-99,-99,-99,-99,-99,-99,-99,16.8,-99,45.5,-99,13.9,-99,4.7,-99,-99,-99,-99,5.3,0.1,-99,18.7,9.8,0.9
19900427,0,1.9,-99,-99,-99,-99,-99,-99,-99,0,-99,0,-99,0,-99,0,-99,-99,-99,-99,2,0.1,-99,0,0,3.3
19900428,5.5,0,-99,-99,-99,-99,-99,-99,-99,0,-99,5.3,-99,3.5,-99,0,-99,-99,-99,-99,4.1,6.2,-99,3.9,1.1,0
19900429,10.8,0,-99,-99,-99,-99,-99,-99,-99,0,-99,0,-99,4.2,-99,0,-99,-99,-99,-99,0.6,0,-99,0,0,0
19900430,1.5,0,-99,-99,-99,-99,-99,-99,-99,4.8,-99,1.2,-99,4.2,-99,1.4,-99,-99,-99,-99,3.9,0,-99,0,0,0
19900501,1,13.3,-99,-99,-99,-99,-99,-99,-99,1.3,-99,0,-99,34.5,-99,0,-99,-99,-99,-99,0,0,-99,0,0,5.6
19900502,0,0,-99,-99,-99,-99,-99,-99,-99,0,-99,0,-99,1.2,-99,0.7,-99,-99,-99,-99,0,0,-99,0,0,0
19900503,0.6,0,-99,-99,-99,-99,-99,-99,-99,33.1,-99,0,-99,6,-99,0,-99,-99,-99,-99,0,0,-99,0,0,0
19900504,0.5,0,-99,-99,-99,-99,-99,-99,-99,0,-99,0,-99,0.8,-99,0,-99,-99,-99,-99,14.5,0,-99,0,0,0
19900505,0,0,-99,-99,-99,-99,-99,-99,-99,0.9,-99,0,-99,0,-99,0,-99,-99,-99,-99,0,0,-99,0,0,1
19900506,0.6,17,-99,-99,-99,-99,-99,-99,-99,0,-99,0,-99,0,-99,0,-99,-99,-99,-99,0,0,-99,0,0,5.3
19900507,3.6,13.1,-99,-99,-99,-99,-99,-99,-99,2.6,-99,0,-99,0,-99,7,-99,-99,-99,-99,0,0,-99,0,0,2
19900508,4.2,0,-99,-99,-99,-99,-99,-99,-99,1.5,-99,0,-99,28,-99,0,-99,-99,-99,-99,2.9,0,-99,0,0,1.8
19900509,0,22.9,-99,-99,-99,-99,-99,-99,-99,0,-99,0,-99,0.6,-99,0,-99,-99,-99,-99,0,0,-99,0,0,0.9
19900510,0,0,-99,-99,-99,-99,-99,-99,-99,0,-99,0,-99,5,-99,0,-99,-99,-99,-99,0,0,-99,0,0,0
19900511,0,6.6,-99,-99,-99,-99,-99,-99,-99,8.9,-99,17.6,-99,1.2,-99,42.7,-99,-99,-99,-99,24.2,11,-99,3.6,14.7,0
19900512,0,32.2,-99,-99,-99,-99,-99,-99,-99,0,-99,0,-99,0,-99,8.7,-99,-99,-99,-99,0.2,0,-99,0.5,4.8,9.8
19900513,0,33.9,-99,-99,-99,-99,-99,-99,-99,0,-99,0,-99,0,-99,6.3,-99,-99,-99,-99,0.4,0,-99,2.8,0,0
19900514,0,6,-99,-99,-99,-99,-99,-99,-99,2.4,-99,0,-99,1.7,-99,0,-99,-99,-99,-99,3.2,0,-99,0.8,0,0
19900515,0,0,-99,-99,-99,-99,-99,-99,-99,0,-99,0,-99,6.7,-99,0,-99,-99,-99,-99,0,0,-99,0,0,0
19900516,0,0,-99,-99,-99,-99,-99,-99,-99,0,-99,0,-99,38.2,-99,0.3,-99,-99,-99,-99,0,0,-99,0.5,0,0
19900517,0,0,-99,-99,-99,-99,-99,-99,-99,0,-99,0,-99,1.1,-99,3.3,-99,-99,-99,-99,11.9,0,-99,1.8,0,6.1
19900518,0,0.5,-99,-99,-99,-99,-99,-99,-99,0,-99,0,-99,0,-99,0,-99,-99,-99,-99,0,0,-99,0.7,0,0
19900519,0,0,-99,-99,-99,-99,-99,-99,-99,0,-99,0,-99,12,-99,35.9,-99,-99,-99,-99,12.4,0,-99,9.5,0,0
19900520,0,0,-99,-99,-99,-99,-99,-99,-99,0,-99,0,-99,9.3,-99,23.4,-99,-99,-99,-99,5.7,0,-99,30.5,0,0
19900521,0,17.9,-99,-99,-99,-99,-99,-99,-99,0,-99,0,-99,0,-99,5.3,-99,-99,-99,-99,2.2,0,-99,0,0,3.5
19900522,0,0,-99,-99,-99,-99,-99,-99,-99,6.4,-99,0,-99,6.4,-99,0,-99,-99,-99,-99,1.7,0,-99,0.2,0,3.4
19900523,0,21.2,-99,-99,-99,-99,-99,-99,-99,0,-99,0,-99,18.4,-99,7.4,-99,-99,-99,-99,0,0,-99,0,0,0
19900524,0,0,-99,-99,-99,-99,-99,-99,-99,0,-99,0,-99,5.8,-99,0,-99,-99,-99,-99,2.2,0,-99,0,0,0
19900525,0,0,-99,-99,-99,-99,-99,-99,-99,0,-99,0,-99,0,-99,0,-99,-99,-99,-99,0,0,-99,0,0,0
19900526,0,0,-99,-99,-99,-99,-99,-99,-99,0,-99,0,-99,0,-99,0.3,-99,-99,-99,-99,0.7,0,-99,0.2,0,0
19900527,0,0,-99,-99,-99,-99,-99,-99,-99,0,-99,0,-99,92.7,-99,0,-99,-99,-99,-99,6,0,-99,0.1,6.7,0
19900528,0,0,-99,-99,-99,-99,-99,-99,-99,2.5,-99,0,-99,20.1,-99,0,-99,-99,-99,-99,15,0,-99,0,11.6,0
19900529,14,0,-99,-99,-99,-99,-99,-99,-99,0,-99,0,-99,11.8,-99,8,-99,-99,-99,-99,2.2,1.1,-99,3.9,0,4.8
19900530,0,0,-99,-99,-99,-99,-99,-99,-99,0,-99,0,-99,0.3,-99,0,-99,-99,-99,-99,9.5,1.2,-99,36.8,0,0
19900531,0,0,-99,-99,-99,-99,-99,-99,-99,0,-99,0,-99,1,-99,0,-99,-99,-99,-99,0,0,-99,0.8,0,0
19900601,0,0,-99,-99,-99,-99,-99,-99,-99,0,-99,0,-99,34,-99,0,-99,-99,-99,-99,2.7,1.2,-99,3.7,6.6,0
19900602,0,0,-99,-99,-99,-99,-99,-99,-99,15.5,-99,0,-99,0,-99,0,-99,-99,-99,-99,21.3,0,-99,3.2,0,2.5
19900603,0,0,-99,-99,-99,-99,-99,-99,-99,0.1,-99,0,-99,1.1,-99,0,-99,-99,-99,-99,2.8,0,-99,11.2,0,0.2
19900604,1.1,0,-99,-99,-99,-99,-99,-99,-99,0.3,-99,0,-99,1.7,-99,2.6,-99,-99,-99,-99,0.2,1.6,-99,0,0,3.6
19900605,0,0,-99,-99,-99,-99,-99,-99,-99,0,-99,0,-99,10.3,-99,7.2,-99,-99,-99,-99,7.4,0,-99,4.8,21.1,0
19900606,0,13.6,-99,-99,-99,-99,-99,-99,-99,0,-99,0,-99,10,-99,0.5,-99,-99,-99,-99,6.8,1.1,-99,7.4,7,7.2
19900607,0,0,-99,-99,-99,-99,-99,-99,-99,11,-99,0,-99,3.5,-99,9.8,-99,-99,-99,-99,5.3,0,-99,5.7,0,0
19900608,0,0,-99,-99,-99,-99,-99,-99,-99,0.1,-99,0,-99,2.3,-99,3.2,-99,-99,-99,-99,0.3,0,-99,1.7,0,0
19900609,0,0,-99,-99,-99,-99,-99,-99,-99,0,-99,0,-99,18.7,-99,0,-99,-99,-99,-99,0,0,-99,1.5,0,0
19900610,0,0,-99,-99,-99,-99,-99,-99,-99,0,-99,0,-99,8.4,-99,0,-99,-99,-99,-99,10.6,0,-99,18.2,0,0
19900611,0,0.1,-99,-99,-99,-99,-99,-99,-99,0,-99,0,-99,0.2,-99,0,-99,-99,-99,-99,0,0,-99,16.6,0,2.5
19900612,0,0,-99,-99,-99,-99,-99,-99,-99,0,-99,0,-99,0,-99,0,-99,-99,-99,-99,0,0,-99,0,0,0
19900613,0,0,-99,-99,-99,-99,-99,-99,-99,2.4,-99,0,-99,0,-99,0,-99,-99,-99,-99,0,0,-99,14,0,0
19900614,0,0,-99,-99,-99,-99,-99,-99,-99,0,-99,0,-99,0,-99,0,-99,-99,-99,-99,0,0,-99,0.3,0,0
19900615,0,0,-99,-99,-99,-99,-99,-99,-99,0,-99,0,-99,0,-99,0,-99,-99,-99,-99,0,0,-99,9.7,0,0
19900616,0,0,-99,-99,-99,-99,-99,-99,-99,4.2,-99,0,-99,14.4,-99,0,-99,-99,-99,-99,0,0,-99,4.4,0,8.7
19900617,0,0,-99,-99,-99,-99,-99,-99,-99,0,-99,0,-99,2.7,-99,0,-99,-99,-99,-99,3.4,0,-99,7,0,0
19900618,0,0,-99,-99,-99,-99,-99,-99,-99,12,-99,0,-99,0,-99,0,-99,-99,-99,-99,2,0,-99,27.2,0,0
19900619,0,0,-99,-99,-99,-99,-99,-99,-99,0,-99,0,-99,2.6,-99,1.7,-99,-99,-99,-99,15.2,5,-99,12.6,0,0.4
19900620,0,0,-99,-99,-99,-99,-99,-99,-99,0,-99,0,-99,23.6,-99,3.5,-99,-99,-99,-99,2.9,0,-99,0.2,0,0
19900621,0,0,-99,-99,-99,-99,-99,-99,-99,0,-99,0,-99,0,-99,43.3,-99,-99,-99,-99,5.5,0,-99,0,0.9,0
19900622,0,0,-99,-99,-99,-99,-99,-99,-99,0,-99,0,-99,0,-99,0,-99,-99,-99,-99,3.6,0,-99,4,3.7,5.9
19900623,0,0,-99,-99,-99,-99,-99,-99,-99,0,-99,0,-99,0,-99,18.8,-99,-99,-99,-99,1.5,0,-99,3.5,0,0
19900624,0,0,-99,-99,-99,-99,-99,-99,-99,8.5,-99,0,-99,9.7,-99,0.1,-99,-99,-99,-99,0,0,-99,3.1,0,7.2
